time,open,high,low,close,Duong_V3_22R8_Chart
1743033600,536.25,537.25,526.5,532,
1743120000,531.75,533,517.5,528.25,
1743379200,529.5,539.25,523.5,537,
1743465600,539,544,533.25,540.5,
1743552000,541.75,543,532.5,539.25,
1743638400,526.75,542,525.25,536,
1743724800,536.75,539.5,520.5,529,
1743984000,530.75,546.5,525.75,536.5,
1744070400,537.5,545.75,533.75,540,
1744156800,539.75,546,536.5,542.25,
1744243200,543.75,547.5,534.5,538,
1744329600,537.5,556.75,536.5,555.75,
1744588800,553,555.25,542.75,547.5,
1744675200,547.5,551,540.25,542,
1744761600,556.5,564.5,550.75,561,
1744848000,562,569.25,561.25,562.25,
1745193600,562,566.5,551.25,552.25,
1745280000,554.25,555.25,545.5,550.25,
1745366400,550.75,552.25,543,543.5,
1745452800,545,545.5,539.25,544.5,
1745539200,545.25,549.75,542.5,545,
1745798400,544,544,527.25,531,
1745884800,533,537,523.75,525.5,
1745971200,526.25,539.75,523.25,530.75,
1746057600,532.5,537.75,528.5,531,
1746144000,530.75,546.75,530.5,543,
1746403200,545.25,548,530.75,531.25,
1746489600,533.25,538.75,528.25,536,
1746576000,536,545,533,534.25,
1746662400,532.5,538.5,525.5,529.25,
1746748800,531.5,533.75,520.75,521.75,
1747008000,525.25,528.25,514,515.25,
1747094400,514.5,520,506.25,517.25,
1747180800,518.25,525.5,510.75,524.75,
1747267200,524.5,533.25,521.75,532.75,
1747353600,533.5,533.5,523.5,525,
1747612800,527,536,524.5,529,
1747699200,530,547.5,528.75,546,
1747785600,546,556.25,545,549.25,
1747872000,548.25,552,541.25,544.5,
1747958400,545,548.5,538.5,542.5,
1748304000,543.5,544,527.5,528.5,
1748390400,531,535.75,526.75,530.25,
1748476800,533,534.75,527.25,534,
1748563200,534.25,538.5,531.25,534,
1748822400,534,549.5,533.25,539,
1748908800,538,545.5,531.75,536,
1748995200,535.5,547.5,533.5,543.25,
1749081600,543.5,549.25,540.5,545.5,
1749168000,545.25,555.75,540.25,554.75,
1749427200,556,557.75,540,542,
1749513600,540,542,530.75,534.5,
1749600000,535,539.25,532,534.25,
1749686400,534.25,537,526,526.5,
1749772800,526.75,544.75,522.25,543.75,
1750032000,559.25,562.75,547.25,552.25,
1750118400,552.75,568.25,552.75,565.5,
1750204800,565,591,563.5,590.5,
1750377600,589.25,594,582,583.5,
1750636800,583,585.75,566.25,569.5,
1750723200,569.5,569.5,551.5,552,
1750809600,551.75,553.5,542.5,544.5,
1750896000,543.75,547.75,536.25,536.75,
1750982400,537,545.25,536.5,540.75,
1751241600,540.25,545.25,534.75,538.25,
1751328000,537.25,550.25,535.75,549,
1751414400,549.75,565.5,544.75,564,
1751500800,563,568.75,556.25,556.75,
1751846400,553,553.75,541.5,548.5,
1751932800,548.5,550,542,547.75,
1752019200,547,551.25,541.75,547,
1752105600,547,555.5,541,554.5,
1752192000,554.5,557.5,544,545,
1752451200,543,551.5,538.5,541.5,
1752537600,541.5,545.25,535.5,538,
